id,caption,image
1,"Focus your confidence as you move through the day. This adidas graphic t-shirt bumps up the style of any look with a foil-print mandala graphic. When it goes on, you'll look as good as you feel in the soft cotton jersey fabric.By buying cotton products from us, you're supporting more sustainable cotton farming.",img0.png
2,"Cover up and stand out at the same time. This adidas windbreaker is a collaboration with FARM Rio and features a wildflower-inspired allover print that's just as vibrant as you are. Tighten up the hems for added protection if the wind really picks up.This product is made with Primegreen, a series of high-performance recycled materials.",img1.png
3,"There's nothing complicated about these kids' adidas slides. Comfort and style go hand-in-hand in simple slip-on sandals that are perfect for a day at the pool, lounging at home or whatever other low-key plans your kid comes up with.",img2.png
4,"Training takes work. Pack up this adidas lunch bag and keep your body refueled and recharged. Insulated to keep your lunch cool, it's got a roomy main pocket and a front pocket for easy access to snacks. A clip on the top lets you attach it to another bag so you never leave it behind. This product is made with recycled content as part of our ambition to end plastic waste.",img3.png
5,"Country club style with a contemporary twist. Showing off horizontal 3-Stripes on one sleeve, this adidas Club tennis tee is built for comfort. Mesh panels and soft, ventilated fabric keep you cool and dry through the most intense rallies. An underarm gusset provides the freedom you need to nail every shot.This product is made with Primegreen, a series of high-performance recycled materials.",img4.png
6,"Step into these shoes for crisp, clean style and comfort. Thanks to their heritage adidas vibes, these running-inspired trainers make it easy to look calm, cool and collected. Whether you're hanging out with friends or trying not to get frazzled as you tick off your weekend to-do list, stay comfortable through it all. This product is made with Primegreen, a series of high-performance recycled materials.",img5.png
7,Rejuvenate tired feet in these women's slides. The lightweight slides have a Cloudfoam Plus contoured footbed that delivers plush cushioning with every step. The classic design features a bandage upper with contrast 3-Stripes.,img6.png
8,"Lunge, twist and stretch through your full range of motion. These adidas training tights have a stretchy build that lets you move freely. The AEROREADY tights absorb moisture to keep you dry during rush hour at the gym. Tuck workout reminders into the back pocket where they're easy to access. This product is made with Primegreen, a series of high-performance recycled materials.",img7.png
9,A SWEAT-WICKING BASE LAYER. The Nike Dri-FIT Base Layer Top is perfect for layering and features sweat-wicking technology to help keep little ones dry and comfortable.BenefitsDri-FIT technology helps little ones stay dry and comfortable.Product DetailsFabric: 92% polyester/8% elastaneMachine washImportedShown: Style: 86C416-478,img8.png
10,"Give every workout a soft landing in these adidas crew-length training socks. Soft, stretchy yarn wicks sweat for elevated dryness. Extra cushioning in the footbed keeps you comfortable through jump rope drills and sprints.",img9.png
11,"Wear them however you like. Customize the look of these juniors' adidas shoes by wearing them without the laces or lacing through different holes. However you style 'em, you'll get a super-flexible feel and a fit that hugs your feet like your favorite socks.",img10.png
12,"Inspired by the original that debuted in 1985, this low-top AJ1 offers a clean, classic look that's familiar yet always fresh. It's made for casual mode, with a nature-inspired stich design that's a breath of fresh air.BenefitsEncapsulated Air-Sole unit provides lightweight cushioning.Genuine leather in the upper offers durability and a premium look.Solid rubber outsole enhances traction on a variety of surfaces.Shown: Psychic Blue/Vivid Green/Safety Orange/SailStyle: DO8227-400",img11.png
13,"Workout done. Endorphins pumping. No need to slow the vibe down, just throw on these adidas pants and keep it flowing. They're all about feeling good, as evident from the soft French terry fabric that settles you right into total, absolute comfort. Which is well deserved, we might add. Recycled materials go ahead and up the game. Because with these pants, they go beyond feeling good. They do good, too.",img12.png
14,"Take off. Touch down. Repeat. These adidas running shoes ensure soft landings and propulsive energy to help you go the distance. A combination of Boost and Bounce in the midsole provides the ideal mix of energy return and spring. The seamless build wraps around your foot, keeping it secure, ventilated and comfortable.This product is made with Primegreen, a series of high-performance recycled materials.",img13.png
15,"Kids seem to have more energy than they know what to do with. From the moment they wake up, they're on the move. Send your young athlete out in the running-inspired foot support of these adidas Puremotion Shoes. Lightweight and breathable with classic style, these shoes keep kids laced up in comfort and protection.",img14.png
16,"What do skinny jeans and flowy skirts have in common? Both look fantastic with a trendy platform like these adidas Nizza shoes. Step up, step out and give every outfit a little lift. Even if you're just knocking around town.",img15.png
17,"Get the fit and performance of a workout tee with style that belongs in your daily-wear wardrobe in this adidas t-shirt. It sits comfortably as you bend, stretch and move through your day. You'll stay feeling dry and fresh, from a training session in the gym to whatever comes next, thanks to moisture-absorbing AEROREADY.",img17.png
18,"Every minute of every day is an opportunity for little ones to adventure. (Unless it's that rare moment of quiet called nap time, of course.) Lace toddlers into these adidas shoes and let them watch, crawl and wobble to explore their big new world. Lightweight cushioning keeps them comfortable on the move.",img18.png
19,The walk to the gym or home from the bus stop just got easier. This juniors' adidas jacket adds a layer of warmth when the sun dips behind a cloud and the wind picks up. Flip up the hood and put your hands in the kangaroo pockets. Comfort achieved.,img20.png
